assets ID,bldgID,BuildingYear,AssetFloor
91600345,52403567,1960,2
91600346,52403567,1960,2
91600347,52403567,1960,3
91600348,52403567,1960,3
91600349,52403567,1960,4
91600350,52403567,1960,2
91600351,52403567,1960,4
91600352,52403567,1960,3
91600353,52403567,1960,3
91600354,52403567,1960,4
91600355,52403567,1960,4
91600356,52403567,1960,1
91600357,52404445,,
91600358,52404418,1992,
91600359,52404418,1993,0
91600360,52404418,1992,0
91600361,52404418,1993,1
91600362,52404418,1992,1
91600363,52404418,1993,2
91600364,52404418,1993,2
91600365,52404418,1993,3
91600366,52404418,1992,3
91600367,52404418,1992,0
91600368,52404418,1992,1
91600369,52404418,1992,1
91600370,52404418,1992,2
91600371,52404418,1993,2
91600372,52404418,1992,3
91600373,52404418,1992,3
91600374,52404418,1993,0
91600375,52405384,1800,
91600376,53316374,1996,
91600377,53316374,1996,0
91600378,53316374,1996,2
91600379,53316374,1996,2
91600380,53316374,1996,2
91600381,53316374,1996,3
91600382,53316374,1996,3
91600383,53316374,1996,3
91600384,53316374,1996,3
91600385,53316374,1996,3
91600386,53316374,1996,4
91600387,53316374,1996,4
91600388,53316374,1996,0
91600389,53316374,1996,4
91600390,53316374,1996,4
91600391,53316374,1996,4
91600392,53316374,1996,5
91600393,53316374,1996,5
91600394,53316374,1996,5
91600395,53316374,1996,5
91600396,53316374,1996,5
91600397,53316374,1996,6
91600398,53316374,1996,6
91600399,53316374,1996,1
91600400,53316374,1996,6
91600401,53316374,1996,6
91600402,53316374,1996,6
91600403,53316374,1996,7
91600404,53316374,1996,7
91600405,53316374,1996,7
91600406,53316374,1996,7
91600407,53316374,1996,7
91600408,53316374,1996,8
91600409,53316374,1996,8
91600410,53316374,1996,1
91600411,53316374,1996,8
91600412,53316374,1996,0
91600413,53316374,1996,1
91600414,53316374,1996,1
91600415,53316374,1996,1
91600416,53316374,1996,2
91600417,53316374,1996,2
91600418,52434697,,
91600419,52433343,,1
91600420,52433343,,1
91600421,52433299,1998,
91600422,52433303,,
91600423,52433305,,
91600424,53321621,,
91600425,53321621,,
91600426,52433862,1998,
91600427,52433862,1998,
91600428,52435876,,
91600429,52435883,,
91600430,52435891,1997,
91600431,52435891,,
91600432,52435383,1996,
91600433,52435383,1995,0
91600434,52435383,1996,2
91600435,52435383,1996,2
91600436,52435383,1995,3
91600437,52435383,1996,3
91600438,52435383,1996,3
91600439,52435383,1996,3
91600440,52435383,1996,4
91600441,52435383,1996,4
91600442,52435383,1996,4
91600443,52435383,1996,4
91600444,52435383,1996,0
91600445,52435383,1996,5
91600446,52435383,1996,5
91600447,52435383,1996,5
91600448,52435383,1996,5
