dealid,assetid,dealdate,assetarea,rescode,pricePerMeter_Jan2026
2943206730,30137865,24/08/1998 00:00,53.0,1,23354.279266167578
2943093600,30122717,25/08/1998 00:00,11.0,1,30764.268903462573
2943173820,30097530,25/08/1998 00:00,50.0,1,34023.618473775365
2943251040,30103647,25/08/1998 00:00,50.0,1,41950.26793899185
2943918300,30100381,25/08/1998 00:00,103.0,1,36347.74288008156
2943396840,30093094,26/08/1998 00:00,43.0,1,30416.213064202784
2943909630,30098451,26/08/1998 00:00,49.0,1,29740.49014421883
2943097560,30060066,27/08/1998 00:00,125.0,1,92924.7214229994
2943252000,30064274,27/08/1998 00:00,50.0,1,31889.52054083247
2943421320,30064592,27/08/1998 00:00,100.0,1,49450.09781761975
2943267630,30104954,28/08/1998 00:00,100.0,1,45761.15710496131
2943599310,30191338,30/08/1998 00:00,100.0,1,15335.01800386112
2943267150,30093668,31/08/1998 00:00,75.0,1,29348.927763519492
2943495840,30183904,31/08/1998 00:00,54.0,1,17784.149441190828
2943268170,30129077,01/09/1998 00:00,99.0,1,34736.19403713403
2943046590,30106612,02/09/1998 00:00,60.0,1,28433.279940995504
2943263160,30103611,02/09/1998 00:00,75.0,1,30355.38958324144
2943244110,30054083,03/09/1998 00:00,50.0,1,42186.82095623712
2943245580,30171120,03/09/1998 00:00,44.0,1,41692.4865875766
2943306240,30114969,03/09/1998 00:00,66.0,1,29877.35195200929
2943458940,30071312,03/09/1998 00:00,46.0,1,30591.810368252987
2943547050,30123984,03/09/1998 00:00,100.0,1,33552.26624210643
2943255750,30056733,04/09/1998 00:00,80.0,1,43434.20040023351
2943303990,30143483,05/09/1998 00:00,62.0,1,37105.743553301865
2943047370,30048238,06/09/1998 00:00,57.0,1,16406.335370138437
2943412680,30052447,06/09/1998 00:00,62.0,1,34696.27968620433
2943876960,30062888,06/09/1998 00:00,68.0,1,38269.37286794131
2943518580,30224272,07/09/1998 00:00,120.0,1,31918.97100206326
2943556950,30088983,07/09/1998 00:00,40.0,1,19270.89200904599
2943612150,30215718,07/09/1998 00:00,47.0,1,30703.74679323508
2943459420,30156043,08/09/1998 00:00,98.0,1,26554.25872469397
2943471300,30143518,08/09/1998 00:00,68.0,1,25439.686441490263
2943578220,30153294,08/09/1998 00:00,185.0,1,14115.03005732763
2943645840,30098236,08/09/1998 00:00,75.0,1,40234.83396203918
2943405750,30137883,10/09/1998 00:00,53.0,1,23225.413215524204
2943603720,30131931,10/09/1998 00:00,75.0,1,24539.265069916964
2943040890,30105844,13/09/1998 00:00,72.0,1,32325.63495918783
2943298350,30214583,13/09/1998 00:00,55.0,1,25151.298097782364
2943433950,30063575,13/09/1998 00:00,75.0,1,36888.570543414135
2943476280,30129375,13/09/1998 00:00,74.0,1,33955.20674545921
2943657240,30174996,13/09/1998 00:00,54.0,1,30928.592113283692
2943772290,30153028,13/09/1998 00:00,75.0,1,33343.12477844237
2943037680,30150519,14/09/1998 00:00,100.0,1,22348.25926010295
2943205260,30055624,14/09/1998 00:00,30.0,1,39736.87809617235
2943224550,30137547,14/09/1998 00:00,53.0,1,23563.647388565816
2943560400,30196044,14/09/1998 00:00,150.0,1,24838.03858943706
2943056520,30061140,16/09/1998 00:00,62.0,1,38021.33982279892
2943432960,30143273,16/09/1998 00:00,75.0,1,19838.56169613417
2943527010,30162520,16/09/1998 00:00,87.0,1,28984.4655718343
2944531380,30097108,16/09/1998 00:00,100.0,1,25216.48504749584
2943954240,30100861,17/09/1998 00:00,60.0,1,28931.235806862333
2943607680,30133957,18/09/1998 00:00,75.0,1,25375.830924573227
2943296850,30112053,20/09/1998 00:00,83.0,1,29913.348761590023
2943131730,30105427,23/09/1998 00:00,69.0,1,28448.435119521888
2943229260,30110975,23/09/1998 00:00,120.0,1,21511.693405446687
2943143670,30117625,24/09/1998 00:00,57.0,1,32393.339484810072
2943326070,30094406,24/09/1998 00:00,75.0,1,23702.6992152607
2943471840,30143147,24/09/1998 00:00,46.0,1,33644.49632856699
2943569850,30168106,25/09/1998 00:00,75.0,1,30594.408398857515
2944242030,30143599,25/09/1998 00:00,52.0,1,32175.609794471544
2943043410,30115330,27/09/1998 00:00,42.0,1,38556.01132854532
2943292410,30096083,27/09/1998 00:00,37.0,1,31330.84474967461
2943457470,30131292,27/09/1998 00:00,82.0,1,29804.48036188244
2943811830,30122265,28/09/1998 00:00,75.0,1,32108.19423109265
2943933390,30217899,28/09/1998 00:00,96.0,1,21038.635332873208
2943228000,30174978,07/10/1998 00:00,90.0,1,26900.106147666746
2943453960,30183706,07/10/1998 00:00,44.0,1,26978.562323422102
2943534450,30125234,13/10/1998 00:00,35.0,1,25122.89401546185
2943560940,30105270,13/10/1998 00:00,93.0,1,31011.916483602374
2943786360,30101048,13/10/1998 00:00,69.0,1,32368.48228948636
2944005210,30060212,14/10/1998 00:00,72.0,1,47669.52829739371
2944169310,30067013,14/10/1998 00:00,175.0,1,126167.17374564942
2943754920,30167721,16/10/1998 00:00,114.0,1,47384.569545829436
2943512880,30181247,19/10/1998 00:00,29.0,1,24458.725552984128
2943540330,30218978,20/10/1998 00:00,59.0,1,32340.403397869963
2943627000,30177271,20/10/1998 00:00,43.0,1,28287.59965694445
2943957210,30149251,20/10/1998 00:00,101.0,1,27917.09047856768
2943624570,30215794,21/10/1998 00:00,66.0,1,25624.083062740006
