ParamVaried,wservice,eld_movef,svc_filter,Replicate,PopChange_E,PopChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE
wservice,1,1,0,4,-80,-414,2.43069840863177,0.579138340420271,0.943264727026804,1.02758907009654,0.869079104732174,0.831557839669071,1.13360295851969,1.0400782705653,1030.32673574695,1285.54185670154,NaN,-2093.75,64.1405281127769,90.205987193028,NaN,NaN,0.00244231476006344,0.00242242570452325,0,0,0.00168343307107627,0.00186618870846436,0.00126230749810654,0.000128297333434696,0.263377626834565,0.312413121611757,NaN,NaN,0.581913392567487,0.597080189636514,NaN,-0.75
wservice,1,1,0,5,-46,-344,2.41672210798063,0.566540100699106,0.889815200464689,0.991576837793899,0.855252799220685,0.818362749312029,1.10460258207609,1.0155470813223,1117.78318569122,1391.43609537508,NaN,-1889.33333333333,92.1800028881502,67.7929428584622,NaN,0,0.00244816512064866,0.00236866729844054,0,0,0.00160156061064679,0.00185274926507174,0.0005005005005005,0.000222188184771216,0.319581873153302,0.36496898602403,NaN,0,0.523832012342732,0.57926049756995,NaN,-0.666666666666667
wservice,2,1,0,1,-67,-385,2.41457851113157,0.559817526886482,0.889692786080979,0.976699498654179,0.840981341275096,0.799843050007597,1.09000104535276,0.994088963415044,1629.20063743447,1253.21526821421,NaN,NaN,29.7169085004514,66.8527695089439,NaN,-456,0.00234308624585171,0.0023529069852198,0,-1.47852443261625e-05,0.00162242818112676,0.00183232554940866,0,0.000189819355246923,0.250346710681153,0.323855141282475,NaN,-1,0.611531560755949,0.579870435857428,NaN,NaN
wservice,2,1,0,2,-86,-492,2.43496817693483,0.581915605278229,0.950081534675489,1.04617686151037,0.874164068983043,0.841128705925481,1.14916696739584,1.06299027132783,1212.78882157568,1336.52709715813,NaN,-2478.4,90.9346025133303,86.2057705336167,NaN,0,0.00241694981529049,0.0024148156716419,0,-2.42706664725013e-05,0.00178240357053918,0.00194414349072494,0.000252844500632111,-9.03369154525137e-05,0.318043355703777,0.344721007964666,NaN,0,0.551367320866098,0.57321439086048,NaN,-0.8
wservice,2,1,0,3,-72,-431,2.42736674571564,0.58332230482212,0.935690719753733,1.0557138702819,0.866190094704336,0.848703019868799,1.13485796783073,1.08167512609516,1394.863975912,1331.88834474896,NaN,-1704.75,87.1000867565406,84.9782208299543,NaN,-228,0.00248515538297396,0.00244277662329898,0,-3.90382250997091e-05,0.00166160445937605,0.00187876527511496,-0.000247524752475248,3.33876678351624e-05,0.360999258893281,0.386551738402544,NaN,-0.5,0.546731095415306,0.569435364725733,NaN,-0.5
wservice,2,1,0,4,-96,-445,2.43233926056016,0.577645895768843,0.919861809735467,1.03258606802566,0.84565705051093,0.830408318543478,1.10040351380645,1.04428189595597,1214.715496716,1385.19653165169,NaN,-2556.75,101.967731489348,79.7356694526505,NaN,0,0.00246873184257927,0.00232639032441989,0,-1.32796834123475e-05,0.00174327565697561,0.00190947507207096,0.000253356979984799,-8.98024752157593e-05,0.412491256760966,0.354547254262492,NaN,0,0.540504753008289,0.59068389774832,NaN,-1
wservice,2,1,0,5,-79,-429,2.44131889291755,0.590024308201855,0.974147003566667,1.06393893603502,0.877242744578867,0.846490796115209,1.14865438698746,1.06700379892835,1568.52801765835,1408.9570841776,-4689,-2799.375,64.5756286496068,87.750534372682,NaN,0,0.00246004097306821,0.00240301241263027,0,-9.75853089837864e-05,0.00177624719809655,0.0019410963784626,4.93427976566794e-06,3.50814820899408e-05,0.304812459926666,0.390155383678747,NaN,0,0.619483857408236,0.61204129636112,-1,-1
eld_movef,0,0,0,1,-45,-379,2.37589010162838,0.573839151166381,0.842890154682333,1.0069456489905,0.845743901529103,0.818928069366588,1.09373565908395,1.0170693662338,712.183073141228,1316.06204466419,NaN,-1226.14285714286,56.4967953270614,83.0196443226991,NaN,NaN,0.00216861786244424,0.00241822781430593,0,0,0.00142724510884895,0.00188191852453087,0,2.6228624968241e-06,0.350898705793033,0.338286536887005,NaN,NaN,0.450416287406982,0.591150823374961,NaN,-0.714285714285714
eld_movef,0,0,0,2,-71,-380,2.40409080240819,0.591038108860303,0.924769057949627,1.06636637686844,0.886713049350077,0.846334677472568,1.16426695833516,1.07165670736225,684.076477481518,1368.26155193936,NaN,NaN,63.7988718323587,73.4642011352636,NaN,NaN,0.00233037794099651,0.00248285969453135,NaN,NaN,0.00155655165653907,0.00190867126084704,NaN,NaN,0.286181773879142,0.315410424812631,NaN,NaN,0.495584554621606,0.609231097648967,NaN,NaN
eld_movef,0,0,0,3,-46,-393,2.39843492304111,0.586362555030198,0.900403352685832,1.04878243442697,0.872693484474925,0.835764146445206,1.1382133042826,1.0476518573441,587.576682481436,1353.41594130199,NaN,0,82.8202711731386,74.2841523640497,NaN,0,0.00222997790117519,0.00242905717520829,0,0,0.00138946853693272,0.00188117370028598,0,0.000190256116995229,0.44042959452159,0.330485712870888,NaN,0,0.507542594857729,0.590419118740516,NaN,0
